airport_name;airport_code;country_code;city_code;lat;lon;
Morelia Airport;MLM;MX;MLM;1.984.351;-10.102.693;
Tamale Airport;TML;GH;TML;9.406.944;-0.879167;
Ufa International Airport;UFA;RU;UFA;54.565.403;55.884.544;
Kuressaare Airport;URE;EE;URE;58.216.667;22.5;
Cam Ranh International Airport;CXR;VN;NHA;11.993.611;109.225;
Juneau International Airport;JNU;US;JNU;5.835.932;-13.458.339;
Malaga Airport;AGP;ES;AGP;36.675.182;-4.489.616;
Labuan Airport;LBU;MY;LBU;5.294.355;11.524.916;
Westchester County Airport;HPN;US;HPN;41.068.672;-7.370.389;
Jaque Airport;JQE;PA;JQE;7.5;-78.166.664;
Putussibau Airport;PSU;ID;PSU;0.833333;112.933.334;
Komodo Airport;LBJ;ID;LBJ;-8.516.667;11.988.333;
Moscow Regional Airport;PUW;US;PUW;4.674.472;-117.105;
Vladivostok International Airport;VVO;RU;VVO;43.378.574;13.214.075;
Correia Pinto Airport;LAJ;BR;LAJ;-27.8;-50.316.666;
Khovd Airport;HVD;MN;HVD;48.016.666;91.65;
El Cadillal Airport;JUJ;AR;JUJ;-24.4;-65.083.336;
Tawau Airport;TWU;MY;TWU;426.275;117.884.865;
Korla Airport;KRL;CN;KRL;41.689.896;8.612.434;
Fisherton Airport;ROS;AR;ROS;-32.933.334;-60.783.333;
Lodwar Airport;LOK;KE;LOK;3.15;35.6;
Rafael Nunez International Airport;CTG;CO;CTG;10.445.704;-7.551.659;
Glacier Park International Airport;FCA;US;FCA;48.307.304;-11.425.315;
Garons Airport;FNI;FR;FNI;43.75;4.416.667;
Aswan Airport;ASW;EG;ASW;23.968.021;32.824.818;
Lijiang Airport;LJG;CN;LJG;26.683.332;100.25;
Cayo Largo Del Sur Airport;CYO;CU;CYO;21.616.667;-8.151.667;
Sultan Thaha Airport;DJB;ID;DJB;-1.630.432;10.363.936;
Gan/Seenu Airport;GAN;MV;GAN;-0.690003;7.315.654;
Tangier Ibn Battouta Airport;TNG;MA;TNG;35.726.288;-5.912.898;
Melville Hall Airport;DOM;DM;DOM;15.543.056;-61.309.166;
Wick Airport;WIC;GB;WIC;58.456.944;-3.086.667;
Kanpur Airport;KNU;IN;KNU;26.402.779;804.125;
Xingyi Airport;ACX;CN;ACX;25.085.556;10.495.944;
Alamosa Municipal Airport;ALS;US;ALS;3.743.667;-10.586.667;
Hulunbuir Hailar Airport;HLD;CN;HLD;49.209.873;11.980.654;
Kokhanok Airport;KNK;US;KNK;59.433.334;-154.85;
Djibouti-Ambouli International Airport;JIB;DJ;JIB;11.552.361;43.149.677;
McClellan-Palomar Airport;CLD;US;SAN;3.311.667;-11.726.667;
Irkutsk International Airport;IKT;RU;IKT;52.273.308;10.435.607;
Brasilia International Airport;BSB;BR;BSB;-15.869.807;-47.921.486;
Raja Bhoj Airport;BHO;IN;BHO;23.284.761;7.734.177;
Rarotonga Airport;RAR;CK;RAR;-2.119.992;-15.979.852;
Faisalabad Airport;LYP;PK;LYP;31.363.043;7.298.757;
Los Angeles International Airport;LAX;US;LAX;33.943.398;-11.840.828;
Ibiza Airport;IBZ;ES;IBZ;38.876.595;1.367.803;
Puerto Escondido Airport;PXM;MX;PXM;15.85;-97.083.336;
Campo Grande International Airport;CGR;BR;CGR;-20.456.991;-54.668.873;
Sir Seewoosagur Ramgoolam International Airport;MRU;MU;MRU;-20.431.997;5.767.663;
Mactan-Cebu International Airport;CEB;PH;CEB;10.313.333;12.398.278;
Saint George Municipal Airport;SGU;US;SGU;37.032.627;-11.351.017;
Grodno Airport;GNA;BY;GNA;53.666.668;23.8;
Blackall Airport;BKQ;AU;BKQ;-24.434.168;14.542.833;
Lifou Airport;LIF;NC;LIF;-20.766.666;167.25;
Crow Wing County Airport;BRD;US;BRD;4.639.722;-941.375;
Pechora Airport;PEX;RU;PEX;6.511.667;5.713.333;
Erzincan Airport;ERC;TR;ERC;39.711.666;39.516.945;
Seville Airport;SVQ;ES;SVQ;37.423.477;-5.900.136;
Petersburg Municipal Airport;PSG;US;PSG;5.680.417;-1.329.425;
Provincetown Airport;PVC;US;PVC;42.071.945;-70.221.664;
Novokuznetsk Airport;NOZ;RU;NOZ;53.75;87.166.664;
Astrakhan Airport;ASF;RU;ASF;462.877;47.999.977;
Indianapolis International Airport;IND;US;IND;39.714.516;-8.629.805;
Tunoshna Airport;IAR;RU;IAR;5.761.667;3.988.333;
Solovky;CSH;RU;CSH;6.502.944;35.733.334;
Guararapes-Gilberto Freyre International Airport;REC;BR;REC;-8.131.507;-3.491.792;
Bordeaux Airport;BOD;FR;BOD;4.483.102;-0.70217;
Yoshkar-Ola Airport;JOK;RU;JOK;56.716.667;47.9;
St. George Island Airport;STG;US;STG;56.6;-1.695.525;
El Alto International Airport;LPB;BO;LPB;-1.650.889;-681.769;
Hannover Airport;HAJ;DE;HAJ;52.459.255;9.694.766;
Pierre Regional Airport;PIR;US;PIR;44.380.363;-10.029.319;
Comandante Airport;BHI;AR;BHI;-38.730.556;-62.150.555;
Pond Inlet Airport;YIO;CA;YIO;72.683.334;-78.0;
Igiugig Airport;IGG;US;IGG;59.316.666;-155.9;
Presidente Castro Pinto International Airport;JPA;BR;JPA;-7.145.357;-3.494.816;
Mount Gambier Airport;MGB;AU;MGB;-37.744.072;14.078.271;
Umtata Airport;UTT;ZA;UTT;-31.583.332;28.783.333;
Pocatello Regional Airport;PIH;US;PIH;42.913.334;-112.594.444;
Sorkjosen Airport;SOJ;NO;SOJ;6.978.333;20.933.332;
Waskaganish Airport;YKQ;CA;YKQ;514.875;-78.75;
Babullah Airport;TTE;ID;TTE;0.8;127.4;
Surigao Airport;SUG;PH;SUG;9.758.889;125.479.164;
Hanan Airport;IUE;NU;IUE;-19.083.332;-16.993.333;
Ras Al Khaimah International Airport;RKT;AE;RKT;25.616.198;55.943.695;
Sunshine Coast Airport;MCY;AU;MCY;-2.660.538;15.308.821;
Manhattan Municipal Airport;MHK;US;MHK;39.142.223;-9.666.889;
Entebbe International Airport;EBB;UG;EBB;0.045111;32.443.184;
Vilyuisk;VYI;RU;VYI;6.375.639;12.169.306;
Paris Orly Airport;ORY;FR;PAR;48.728.283;23.597;
Tabuk Regional Airport;TUU;SA;TUU;28.375.784;36.608.288;
Eindhoven Airport;EIN;NL;EIN;51.457.954;5.391.795;
Sydney Airport;YQY;CA;YQY;46.166.668;-60.05;
Pohnpei Airport;PNI;FM;PNI;6.980.947;15.820.334;
Ceduna Airport;CED;AU;CED;-3.212.378;13.370.122;
Isparta Suleyman Demirel Airport;ISE;TR;ISE;3.786.611;30.382.221;
Joinville-Lauro Carneiro de Loyola Airport;JOI;BR;JOI;-26.233.334;-48.783.333;
Red Deer Regional Airport;YQF;CA;YQF;52.176.945;-11.389.333;
Linkoping City Airport;LPI;SE;LPI;58.406.944;15.656.944;
Campbell River Airport;YBL;CA;YBL;49.951.725;-12.526.813;
Grand Forks International Airport;GFK;US;GFK;479.488;-9.717.587;
Guyuan Liupanshan Airport;GYU;CN;GYU;3.607.611;106.218.056;
Huntsville International Airport;HSV;US;HSV;3.464.857;-8.677.484;
Vaasa Airport;VAA;FI;VAA;6.304.355;21.760.122;
Falls International Airport;INL;US;INL;48.563.057;-9.340.417;
Chibougamau Airport;YMT;CA;YMT;49.916.668;-7.436.667;
Kalemyo Airport;KMV;MM;KMV;23.183.332;94.05;
Exeter International Airport;EXT;GB;EXT;5.073.111;-3.410.968;
Putuoshan Airport;HSN;CN;HSN;29.935.259;12.235.691;
Lar Airport;LRR;IR;LRR;2.766.969;5.438.276;
Sacramento International Airport;SMF;US;SAC;38.692.284;-1.215.937;
Lupepau'u Airport;VAV;TO;VAV;-18.586.012;-17.396.829;
Tartu Airport;TAY;EE;TAY;58.333.332;26.733.334;
Esquel Airport;EQS;AR;EQS;-4.290.972;-711.425;
Aberdeen Municipal Airport;ABR;US;ABR;454.525;-9.842.611;
Brevig Mission Airport;KTS;US;KTS;65.329.445;-16.647.166;
Kardla Airport;KDL;EE;KDL;58.983.334;22.8;
Anvik Airport;ANV;US;ANV;62.647.778;-16.018.889;
Ogdensburg Airport;OGS;US;OGS;44.681.667;-75.465.836;
Kandahar Airport;KDH;AF;KDH;31.506.945;658.475;
Providenciales International Airport;PLS;TC;PLS;21.769.167;-7.226.833;
San Antonio International Airport;SAT;US;SAT;29.524.937;-9.847.264;
Cape Girardeau Airport;CGI;US;CGI;3.722.361;-8.957.167;
Mount Isa Airport;ISA;AU;ISA;-20.667.637;13.949.179;
Mannheim Airport;MHG;DE;MHG;49.476.578;8.521.081;
Copenhagen Airport;CPH;DK;CPH;5.562.905;12.647.601;
Aspen Airport;ASE;US;ASE;39.219.685;-106.864.685;
Nadzab Airport;LAE;PG;LAE;-6.562.694;14.672.757;
Chefornak Sea Plane Base;CYF;US;CYF;60.216.667;-164.2;
East Midlands Airport;EMA;GB;NQT;5.282.587;-1.330.595;
Malatya Airport;MLX;TR;MLX;38.354.443;38.253.613;
Montpellier Mediterranee Airport;MPL;FR;MPL;4.357.843;3.959.174;
Lille Airport;LIL;FR;LIL;5.057.205;3.106.067;
Del Rio International Airport;DRT;US;DRT;29.333.332;-10.097.833;
Rzeszow International Airport;RZE;PL;RZE;5.011.525;2.203.133;
Laleu Airport;LRH;FR;LRH;46.180.557;-1.185.833;
Shizuoka Airport;FSZ;JP;FSZ;34.796.112;13.818.944;
Guangzhou Baiyun International Airport;CAN;CN;CAN;23.387.861;11.329.734;
Joplin Airport;JLN;US;JLN;37.149.723;-9.449.778;
General Ulpiano Paez Airport;SNC;EC;SNC;-2.2;-8.098.333;
Ivano-Frankovsk Airport;IFO;UA;IFO;48.887.535;24.707.565;
Dala Airport;BLE;SE;BLE;6.042.973;1.550.826;
Stavanger Airport Sola;SVG;NO;SVG;5.888.215;5.629.197;
Saumlaki Olilit Airport;SXK;ID;SXK;-7.966.667;13.131.667;
Pilanesberg International Airport;NTY;ZA;NTY;-26.033.333;27.916.668;
Kuala Namu International Airport;KNO;ID;MES;3.637.833;988.705;
Mora Airport;MXX;SE;MXX;6.095.812;14.504.529;
El Fasher Airport;ELF;SD;ELF;13.616.667;25.316.668;
Ukunda Airport;UKA;KE;UKA;-4.3;39.566.666;
Don Miguel Hidal Y Costilla International Airport;GDL;MX;GDL;20.525.198;-10.329.921;
Sendai Airport;SDJ;JP;SDJ;38.135.555;14.092.389;
San Diego International Airport;SAN;US;SAN;32.731.937;-11.719.731;
Palm Island Airport;PMK;AU;PMK;-18.333.332;14.666.667;
Begishevo Airport;NBC;RU;NBC;55.564.125;5.210.341;
Gabriel Vargas Santos Airport;TME;CO;TME;6.5;-7.176.667;
La Gomera Airport;GMZ;ES;GMZ;28.016.666;-17.2;
Esperance Airport;SFG;MF;SFG;18.100.555;-6.304.889;
Vila Do Porto Airport;SMA;PT;SMA;36.966.667;-25.1;
Aracatuba Airport;ARU;BR;ARU;-21.143.612;-5.042.611;
Nan Airport;NNT;TH;NNT;18.8;10.078.333;
Lingling Airport;LLF;CN;LLF;26.345.556;11.161.222;
Syktyvkar Airport;SCW;RU;SCW;61.666.668;50.766.666;
Tuy Hoa Airport;TBB;VN;TBB;13.044.167;10.933.972;
Goulimime Airport;GLN;MA;GLN;29.016.666;-10.066.667;
Ouvea Airport;UVE;NC;UVE;-2.064.242;16.657.198;
Wuyishan Airport;WUS;CN;WUS;27.716.667;11.796.667;
Musoma Airport;MUZ;TZ;MUZ;-1.497.222;33.8;
Wenshan Puzhehei Airport;WNH;CN;WNH;23.374.907;10.424.256;
Multan Airport;MUX;PK;MUX;30.199.507;7.141.498;
Vero Beach Municipal Airport;VRB;US;VRB;276.525;-8.041.361;
Boram Airport;WWK;PG;WWK;-3.580.034;14.366.916;
Benito Juarez International Airport;MEX;MX;MEX;19.435.278;-9.907.278;
J. Paul II International Airport Krakow-Balice;KRK;PL;KRK;50.075.493;19.793.743;
Gimpo International Airport;GMP;KR;SEL;37.559.288;12.680.351;
Arvidsjaur Airport;AJR;SE;AJR;6.559.139;19.285.557;
Ketapang Airport;KTG;ID;KTG;-1.833.333;10.998.333;
Chah-Bahar Airport;ZBR;IR;ZBR;25.436.478;60.379.562;
Trujillo Airport;TRU;PE;TRU;-8.09;-79.115;
Queen Alia International Airport;AMM;JO;AMM;31.722.534;3.598.932;
Gilgit Airport;GIL;PK;GIL;3.591.972;7.433.224;
Turany Airport;BRQ;CZ;BRQ;49.15;16.7;
Rovaniemi Airport;RVN;FI;RVN;66.559.044;25.829.609;
Rock Springs-Sweetwater County Airport;RKS;US;RKS;4.159.639;-109.065.834;
Brisbane Airport;BNE;AU;BNE;-2.740.303;15.310.905;
Sigiriya Slaf Base;GIU;LK;GIU;79.564.085;80.759.575;
Hamadan Airport;HDM;IR;HDM;34.867.146;4.853.732;
Akwa Ibom Airport;QUO;NG;QUO;4.876.463;8.085.693;
Dabolim Airport;GOI;IN;GOI;15.384.534;7.383.983;
William P. Hobby Airport;HOU;US;QHO;29.654.512;-95.277.016;
Noto Airport;NTQ;JP;NTQ;37.294.678;1.369.568;
Koltsovo International Airport;SVX;RU;SVX;56.750.336;60.804.314;
Siem Reap International Airport;REP;KH;REP;13.408.436;103.815.926;
Zenata Airport;TLM;DZ;TLM;35.016.666;-1.45;
Stuttgart Airport;STR;DE;STR;4.869.073;9.193.624;
Khabarovsk Airport;KHV;RU;KHV;48.524.563;13.516.861;
Podkamennaya Tunguska Airport;TGP;RU;TGP;61.59;8.997.945;
Bole Airport;BPL;CN;BPL;44.904.232;82.024.185;
Kars Airport;KSY;TR;KSY;40.551.666;43.085.835;
Batumi Airport;BUS;GE;BUS;41.610.832;41.600.555;
Lanseria International Airport;HLA;ZA;JNB;-25.937.843;27.926.432;
LaGuardia Airport;LGA;US;NYC;40.774.254;-7.387.162;
Sarajevo International Airport;SJJ;BA;SJJ;43.826.687;18.336.065;
Bob Hope Airport;BUR;US;LAX;3.419.619;-11.835.411;
Marudi Airport;MUR;MY;MUR;4.183.333;114.316.666;
Olokminsk Airport;OLZ;RU;OLZ;60.399.166;120.464.165;
Pitt-Greenville Airport;PGV;US;PGV;3.563.333;-7.738.528;
Prince George Airport;YXS;CA;YXS;5.388.381;-12.267.396;
New Bedford Airport;EWB;US;EWB;41.676.945;-7.095.917;
Gustavus Airport;GST;US;GST;584.275;-135.705;
Nadym Airport;NYM;RU;NYM;6.548.333;7.271.667;
Skopje Alexander the Great Airport;SKP;MK;SKP;4.195.649;2.162.872;
Mineralnye Vody Airport;MRV;RU;MRV;44.218.105;43.085.815;
Rajshahi Airport;RJH;BD;RJH;24.433.332;8.861.667;
Kyzyl Airport;KYZ;RU;KYZ;51.7;9.446.667;
Zhuhai Jinwan Airport;ZUH;CN;ZUH;22.011.787;1.133.706;
Blagoveschensk Airport;BQS;RU;BQS;50.416.668;127.4;
Ciudad Del Carmen Airport;CME;MX;CME;1.865.103;-91.802.734;
Semera Airport;SZE;ET;SZE;11.5;41.083.332;
Ganzhou Airport;KOW;CN;KOW;25.851.667;114.776.665;
Tbilisi International Airport;TBS;GE;TBS;41.674.065;44.958.958;
Mangalore Airport;IXE;IN;IXE;12.963.543;74.890.144;
Devi Ahilya Bai Holkar Airport;IDR;IN;IDR;22.728.651;7.580.944;
Rafael Cabrera Airport;GER;CU;GER;218.375;-82.78;
Chandigarh Airport;IXC;IN;IXC;30.674.921;76.797.386;
Barreiras Airport;BRA;BR;BRA;-12.073.056;-4.500.833;
Basco Airport;BSO;PH;BSO;20.453.056;121.977.776;
Louisville International Airport;SDF;US;SDF;38.186.375;-8.574.179;
Columbus Airport;CSG;US;CSG;32.466.667;-8.498.333;
;SAG;IN;SAG;19.689.245;74.388.016;
Volgograd International Airport;VOG;RU;VOG;48.792;44.354.805;
Ile Des Pins Airport;ILP;NC;ILP;-22.589.722;1.674.475;
Donegal Airport;CFN;IE;CFN;55.041.668;-8.340.278;
Ciudad de Catamayo Airport;LOH;EC;LOH;-3.993.611;-7.937.361;
Wales Airport;WAA;US;WAA;65.617.226;-16.809.084;
Imperatriz Airport;IMP;BR;IMP;-5.531.944;-47.480.556;
Kandavu Airport;KDV;FJ;KDV;-19.053.968;17.815.607;
Huai'an Lianshui Airport;HIA;CN;HIA;337.875;11.912.778;
Grabtsevo Airport;KLF;RU;KLF;54.546.665;3.636.889;
Tambor Airport;TMU;CR;TMU;9.733.333;-8.501.667;
Bario Airport;BBN;MY;BBN;3.683.333;11.546.667;
La Vanguardia Airport;VVC;CO;VVC;4.078.889;-73.566.666;
Tucson International Airport;TUS;US;TUS;3.212.069;-11.093.737;
Guadalupe Victoria Airport;DGO;MX;DGO;24.125;-104.525;
Chhatrapati Shivaji International Airport;BOM;IN;BOM;19.095.509;7.287.497;
The Eastern Iowa Airport;CID;US;CID;41.889.423;-917.003;
Kirakira Airport;IRA;SB;IRA;-10.5;16.183.333;
Petrolina International Airport;PNZ;BR;PNZ;-9.393.333;-40.490.555;
Pico Island Airport;PIX;PT;PIX;38.466.667;-28.3;
Ulan-Ude Airport;UUD;RU;UUD;51.833.332;107.5;
Enfidha - Hammamet International Airport;NBE;TN;NBE;36.075.832;10.438.611;
Dimapur Airport;DMU;IN;DMU;25.879.816;93.772.865;
Ogle Airport;OGL;GY;OGL;6.8;-58.105.556;
Destin-Fort Walton Beach Airport;DSI;US;DSI;30.383.333;-86.5;
Mtwara Airport;MYW;TZ;MYW;-10.338.889;4.019.361;
Punta Cana International Airport;PUJ;DO;PUJ;18.562.477;-68.364;
Mitiga; Tripoli Airport;MJI;LY;TIP;3.289.722;airport
Changchun Longjia International Airport;CGQ;CN;CGQ;43.902.836;125.217.545;
Pangborn Field;EAT;US;EAT;47.399.723;-12.020.778;
Mariscal Sucre International Airport;UIO;EC;UIO;-0.145528;-7.849.053;
Kongiganak Airport;KKH;US;KKH;59.966.667;-162.75;
Zhongwei Airport;ZHY;CN;ZHY;37.568.935;10.515.253;
Los Cabos International Airport;SJD;MX;SJD;23.162.354;-109.717.285;
Mopah Airport;MKQ;ID;MKQ;-8.516.667;140.5;
Dallas/Fort Worth International Airport;DFW;US;DFW;3.289.746;-97.036.125;
Bella Coola Airport;QBC;CA;QBC;52.333.332;-126.666.664;
St. John's International Airport;YYT;CA;YYT;4.761.282;-5.274.334;
Dortmund Airport;DTM;DE;DTM;51.514.828;7.613.139;
Batsfjord Airport;BJF;NO;BJF;70.6;29.666.668;
Kununurra Airport;KNX;AU;KNX;-15.784.031;12.871.268;
Albury Airport;ABX;AU;ABX;-36.069.626;14.695.453;
Sudbury Airport;YSB;CA;YSB;4.662.296;-8.079.592;
Quanzhou Jinjiang International Airport;JJN;CN;JJN;24.802.809;118.587.296;
Melilla Airport;MLN;ES;MLN;35.277.077;-2.957.473;
Kirov Airport;KVX;RU;KVX;58.5;49.35;
Lycksele Airport;LYC;SE;LYC;6.455.071;1.870.967;
Santorini International Airport;JTR;GR;JTR;36.4;25.483.334;
Sale Airport;RBA;MA;RBA;34.036.137;-6.748.619;
Paraburdoo Airport;PBO;AU;PBO;-23.173.908;117.748;
Achmad Yani International Airport;SRG;ID;SRG;-6.979.155;11.037.855;
Chicago Executive Airport;PWK;US;CHI;42.114.166;-87.901.665;
Westmoreland County Airport;LBE;US;LBE;4.027.639;-7.940.278;
Maurice Bishop International Airport;GND;GD;GND;12.004.167;-6.178.611;
Cengiz Topel Airport;KCO;TR;KCO;40.75;29.833.332;
Kalimarau Airport;BEJ;ID;BEJ;2.166.667;117.7;
Kulusuk Airport;KUS;GL;KUS;65.566.666;-3.711.667;
Barcelona-El Prat Airport;BCN;ES;BCN;4.130.303;207.593;
Laoag Airport;LAO;PH;LAO;18.182.407;12.053.413;
Flagstaff Pulliam Airport;FLG;US;GCN;3.513.778;-11.167.167;
Bangor International Airport;BGR;US;BGR;44.812.298;-6.882.102;
Grantley Adams International Airport;BGI;BB;BGI;13.080.732;-59.487.835;
Nightmute Airport;NME;US;NME;60.471.046;-16.470.084;
Page Airport;PGA;US;PGA;36.926.388;-11.144.722;
Tsushima Airport;TSJ;JP;TSJ;3.428.615;12.932.637;
Nanjing Lukou International Airport;NKG;CN;NKG;31.735.737;11.886.652;
Yakutsk Airport;YKS;RU;YKS;62.085.606;12.975.006;
Victoria International Airport;YYJ;CA;YYJ;48.640.266;-12.343.096;
Guemar Airport;ELU;DZ;ELU;33.516.666;6.783.333;
Geraldton Airport;GET;AU;GET;-28.796.078;11.470.205;
Montrose Regional Airport;MTJ;US;MTJ;3.851.029;-10.789.696;
Hassan I Airport;EUN;MA;EUN;27.133.333;-13.216.667;
George Best Belfast City Airport;BHD;GB;BFS;5.461.452;-5.870.215;
Fukushima Airport;FKS;JP;FKS;37.226.665;14.043.279;
Federal Airport;PET;BR;PET;-31.718.056;-52.324.444;
N'djili Airport;FIH;CD;FIH;-4.389.588;15.447.338;
Ngurah Rai International Airport;DPS;ID;DPS;-874.446;11.516.331;
Rafael Hernandez Airport;BQN;PR;BQN;18.495.832;-67.13;
Emmet County Airport;PLN;US;PLN;4.557.083;-8.479.278;
Jabalpur Airport;JLR;IN;JLR;22.666.668;79.925;
Biratnagar Airport;BIR;NP;BIR;26.434.723;8.728.333;
Phoenix-Mesa Gateway Airport;AZA;US;PHX;33.307.777;-111.655.556;
Kearney Regional Airport;EAR;US;EAR;40.728.333;-98.998.886;
Emerald Airport;EMD;AU;EMD;-2.356.861;1.481.744;
Sakon Nakhon Airport;SNO;TH;SNO;17.283.333;104.1;
Jeju International Airport;CJU;KR;CJU;335.067;12.649.312;
Van Nuys Airport;VNY;US;LAX;34.2;-118.5;
White Mountain Airport;WMO;US;WMO;6.468.694;-16.340.666;
Erie International Airport;ERI;US;ERI;4.208.314;-8.018.203;
Chizhou Jiuhuashan Airport;JUH;CN;JUH;19.222.221;7.284.722;
Pago Pago International Airport;PPG;AS;PPG;-14.326.389;-1.706.964;
Joensuu Airport;JOE;FI;JOE;62.656.788;2.961.354;
Zhangye Ganzhou Airport;YZY;CN;YZY;388.075;100.660.835;
Bozeman Yellowstone International Airport;BZN;US;BZN;45.777.687;-11.116.033;
Charlotte County Airport;PGD;US;PGD;26.919.167;-8.199.139;
Spirit of St. Louis Airport;SUS;US;STL;38.75;-9.036.667;
Camba Punta Airport;CNQ;AR;CNQ;-27.449.722;-58.762.222;
Santa Maria Public Airport;SMX;US;SMX;34.905;-12.045.778;
Ornskoldsvik Airport;OER;SE;OER;63.412.582;18.992.073;
Brussels Airport;BRU;BE;BRU;5.089.717;4.483.602;
O.R. Tambo International Airport;JNB;ZA;JNB;-26.132.664;28.231.314;
Licenciado y General Ignacio Lopez Rayon Airport;UPN;MX;UPN;19.411.112;-10.204.722;
Wellington International Airport;WLG;NZ;WLG;-41.329.037;17.481.216;
El Golea Airport;ELG;DZ;ELG;305.675;2.864.722;
Aba Tenna D Yilma Airport;DIR;ET;DIR;961.338;41.857.994;
Reunion Roland Garros Airport;RUN;RE;RUN;-20.892;55.511.875;
Mandalay International Airport;MDL;MM;MDL;21.940.052;960.875;
Alejandro Velasco Astete International Airport;CUZ;PE;CUZ;-13.538.429;-7.194.371;
Ala'Marvdasht Airport;PGU;IR;PGU;27.383.959;52.735.516;
Cheddi Jagan International Airport;GEO;GY;GEO;6.503.833;-5.825.308;
Houghton County Airport;CMX;US;CMX;47.167.778;-8.848.639;
Darwin International Airport;DRW;AU;DRW;-12.407.805;13.087.752;
Hurghada International Airport;HRG;EG;HRG;27.189.156;338.055;
Zyryanka Airport;ZKP;RU;ZKP;65.738.335;15.070.778;
Lubbock Preston Smith International Airport;LBB;US;LBB;3.365.622;-1.018.223;
Nduli Airport;IRI;TZ;IRI;-7.670.556;3.575.028;
Capital Airport;SPI;US;SPI;39.844.166;-8.967.889;
Osh Airport;OSS;KG;OSS;4.060.769;7.278.648;
Salgado Filho International Airport;POA;BR;POA;-2.998.961;-5.117.709;
Vilhena Airport;BVH;BR;BVH;-12.716.667;-6.011.667;
South Bend Regional;SBN;US;SBN;41.700.554;-8.631.335;
Bubung Airport;LUW;ID;LUW;-0.933333;12.278.333;
Kodiak Benny Benson State Airport;ADQ;US;ADQ;57.755.276;-15.251.297;
Charif Al Idrissi Airport;AHU;MA;AHU;3.517.972;-3.836.944;
Liepaya Airport;LPX;LV;LPX;56.516.666;21.1;
Nakhichevan Airport;NAJ;AZ;NAJ;39.190.277;4.545.889;
Visby Airport;VBY;SE;VBY;57.660.446;18.338.154;
Kochi Ryoma Airport;KCZ;JP;KCZ;33.547.688;13.367.485;
Bemidji Airport;BJI;US;BJI;47.509.724;-9.493.472;
Santa Rosa Airport;RSA;AR;RSA;-36.566.666;-6.426.667;
Dundee Airport;DND;GB;DND;5.645.409;-3.014.531;
Kivalina Airport;KVL;US;KVL;6.773.167;-16.454.723;
Agatti Island Airport;AGX;IN;AGX;10.828.967;7.217.987;
Changzhi Airport;CIH;CN;CIH;3.624.588;11.312.158;
Loreto Airport;LTO;MX;LTO;25.983.334;-111.35;
Tolotio Airport;GTO;ID;GTO;0.639039;122.850.876;
Koyuk Airport;KKA;US;KKA;64.939.445;-161.15;
Yoron Airport;RNJ;JP;RNJ;27.033.333;12.843.333;
Coastal Carolina Regional Airport;EWN;US;EWN;35.078.342;-7.703.462;
Nampula Airport;APL;MZ;APL;-15.101.667;39.287.224;
Pluguffan Airport;UIP;FR;UIP;47.974.445;-4.170.833;
Tabubil Airport;TBG;PG;TBG;-5.274.722;141.227;
Anapa Airport;AAQ;RU;AAQ;44.9;37.316.666;
Aksu Airport;AKU;CN;AKU;41.259.983;8.029.262;
Ancona Falconara Airport;AOI;IT;AOI;4.360.691;13.355.723;
Northwest Regional Airport;YXT;CA;YXT;54.465.557;-12.857.445;
Fuyang Airport;FUG;CN;FUG;3.286.667;115.7;
Normanton Airport;NTN;AU;NTN;-17.685.398;14.107.307;
Masbate Airport;MBT;PH;MBT;12.366.667;123.066.666;
Victoria Inner Harbour Airport;YWH;CA;YYJ;48.416.668;-12.336.667;
Hosea Kutako International Airport;WDH;NA;WDH;-22.487.345;17.463.202;
Cherepovets Airport;CEE;RU;CEE;59.283.333;38.066.666;
Coober Pedy Airport;CPD;AU;CPD;-29.044.443;13.475.278;
Satwari Airport;IXJ;IN;IXJ;3.268.077;7.484.283;
Gode/Iddidole Airport;GDE;ET;GDE;5.902.222;43.628.334;
Rapid City Regional Airport;RAP;US;RAP;44.037.582;-10.306.118;
Sioux Lookout Airport;YXL;CA;YXL;50.115.208;-91.903;
Hatay Airport;HTY;TR;HTY;36.364.544;3.628.057;
Deering Airport;DRG;US;DRG;660.712;-16.275.989;
Marechal Rondon International Airport;CGB;BR;CGB;-15.651.725;-56.120.266;
Flamingo International Airport;BON;BQ;BON;12.133.403;-6.827.687;
Footner Lake Airport;YOJ;CA;YOJ;58.618.332;-117.168.335;
W. A. Mozart Salzburg Airport;SZG;AT;SZG;47.791.225;12.997.331;
Sand Point Municipal Airport;SDP;US;SDP;55.316.666;-16.051.389;
Shannon Airport;SNN;IE;SNN;5.269.248;-892.039;
Gusti Syamsir Alam Airport;KBU;ID;KBU;-3.333.333;116.333.336;
Okadama Airport;OKD;JP;SPK;43.110.374;141.382;
Kumasi Airport;KMS;GH;KMS;67.125;-1.591.111;
Lethbridge Airport;YQL;CA;YQL;49.631.943;-112.791.664;
Benbecula Airport;BEB;GB;BEB;57.473.415;-7.376.028;
Montoir Airport;SNR;FR;SNR;4.729.111;-2.182.222;
Antananarivo Airport;TNR;MG;TNR;-18.799.631;4.747.503;
Karshi Airport;KSQ;UZ;KSQ;3.880.981;6.577.531;
Hatanga Airport;HTG;RU;HTG;7.196.667;102.5;
Beziers Vias Airport;BZR;FR;BZR;43.324.165;3.354.444;
Dubuque Municipal Airport;DBQ;US;DBQ;42.41;-9.071.083;
