airport_name;airport_code;country_code;city_code;lat;lon;
National Airport;CRM;PH;CRM;12.483.333;124.583.336;
Dumaguete Airport;DGT;PH;DGT;9.332.543;12.329.601;
Frankfurt - Hahn Airport;HHN;DE;FRA;49.948.334;7.264.167;
Zanderij International Airport;PBM;SR;PBM;5.451.389;-55.191.113;
Boa Vista Airport;BVB;BR;BVB;2.833.333;-60.666.668;
Bonriki Airport;TRW;KI;TRW;1.358.333;17.294.167;
Mendeleyevo Airport;DEE;RU;DEE;439.584;145.683;
Aguenar - Hadj Bey Akhamok Airport;TMR;DZ;TMR;22.814.722;5.459.167;
Friedrichshafen Airport;FDH;DE;FDH;47.672.775;9.523.482;
Beirut-Rafic Hariri International Airport;BEY;LB;BEY;33.826.073;3.549.308;
Sacheon Airport;HIN;KR;HIN;3.509.263;12.808.676;
Ciampino-G. B. Pastine International Airport;CIA;IT;ROM;41.799.065;12.590.987;
Upington Airport;UTN;ZA;UTN;-28.400.557;21.253.332;
Trieste - Friuli Venezia Giulia Airport;TRS;IT;TRS;4.582.078;13.485.678;
Indira Gandhi International Airport;DEL;IN;DEL;28.556.555;7.710.079;
Tomsk Airport;TOF;RU;TOF;56.5;8.496.667;
Noril'sk Airport;NSK;RU;NSK;6.932.312;87.339.806;
Kona International Airport at Keahole;KOA;US;KOA;19.736.174;-15.604.108;
Are Ostersund Airport;OSD;SE;OSD;63.198.612;14.494.444;
Tri-Cities Airport;PSC;US;PSC;46.259.094;-1.191.152;
Horn Island Airport;HID;AU;HID;-10.583.333;14.228.334;
Parkes Airport;PKE;AU;PKE;-33.138.454;1.482.329;
Fumawula;FVM;MV;FVM;-0.309444;7.343.278;
Ubon Ratchathani International Airport;UBP;TH;UBP;15.246.491;10.487.068;
Prince Nayef bin Abdulaziz Regional Airport;ELQ;SA;ELQ;26.305.029;43.768.177;
Barnaul Airport;BAX;RU;BAX;53.361.088;83.547.646;
Bauru-Arealva Airport;JTC;BR;JTC;-22.165.958;-4.907.229;
Pittsburgh International Airport;PIT;US;PIT;4.049.585;-8.025.657;
Van Ferit Melen Airport;VAN;TR;VAN;3.845.861;43.332.222;
Minsk National Airport;MSQ;BY;MSQ;53.889.725;28.032.442;
Hughes Municipal Airport;HUS;US;HUS;6.604.056;-15.426.334;
Wonju Airport;WJU;KR;WJU;37.434.166;12.795.167;
Bethel Airport;BET;US;BET;60.784.443;-16.183.139;
Culiacan International Airport;CUL;MX;CUL;2.476.643;-10.746.958;
Flinders Island Airport;FLS;AU;FLS;-40.095;14.799.667;
Angel Albino Corzo International Airport;TGZ;MX;TGZ;1.656.361;-930.225;
Orlando International Airport;MCO;US;ORL;28.432.177;-81.308.304;
Narathiwat Airport;NAW;TH;NAW;6.516.667;101.75;
Rotorua International Airport;ROT;NZ;ROT;-3.810.982;17.631.746;
Guillermo Leon Valencia Airport;PPN;CO;PPN;2.45;-7.660.889;
Bulutumbang Airport;TJQ;ID;TJQ;-2.75;107.65;
Peoria International Airport;PIA;US;PIA;4.066.643;-8.969.012;
Kosrae Airport;KSA;FM;KSA;5.352.478;1.629.566;
Abdul Rachman Saleh Airport;MLG;ID;MLG;-7.930.615;11.271.099;
Xilinhot Airport;XIL;CN;XIL;43.918.762;11.595.924;
Williamson County Airport;MWA;US;MWA;37.751.945;-8.901.639;
Jingdezhen Airport;JDZ;CN;JDZ;2.933.549;11.717.879;
Barca Airport;KSC;SK;KSC;48.666.668;21.25;
Ramon Villeda Morales International Airport;SAP;HN;SAP;15.456.245;-87.927.795;
Dillingham Airport;DLG;US;DLG;5.904.246;-15.851.472;
Korhogo Airport;HGO;CI;HGO;9.413.889;-5.616.667;
Lodz Lublinek Airport;LCJ;PL;LCJ;51.721.943;19.398.333;
Greater Moncton International Airport;YQM;CA;YQM;46.104.774;-6.468.123;
Columbia Regional Airport;COU;US;COU;3.881.361;-9.221.917;
Chelyabinsk International Airport;CEK;RU;CEK;55.297.504;6.151.235;
Sveg Airport;EVG;SE;EVG;62.033.333;14.35;
Karratha Airport;KTA;AU;KTA;-2.070.826;11.677.006;
Shillong Airport;SHL;IN;SHL;25.566.668;9.188.333;
Neryungri Airport;NER;RU;NER;56.65;124.6;
Westray Airport;WRY;GB;WRY;59.35;-2.95;
Huatulco Airport;HUX;MX;HUX;15.768.333;-9.623.556;
Araxos Airport;GPA;GR;GPA;38.25;21.733.334;
Rajahmundry Airport;RJA;IN;RJA;17.109.638;8.182.081;
Chetumal Airport;CTM;MX;CTM;18.481.943;-88.333.336;
Beijing Capital International Airport;PEK;CN;BJS;40.078.537;1.165.871;
Hangzhou Xiaoshan International Airport;HGH;CN;HGH;30.236.935;12.043.236;
Snowy Mountains Airport;OOM;AU;OOM;-36.308.334;14.897.333;
Southwest Oregon Regional Airport;OTH;US;OTH;43.418.888;-124.24;
Stord Airport;SRP;NO;SRP;59.833.332;5.416.667;
Diqing Shangri-La Airport;DIG;CN;DIG;27.789.722;9.967.778;
Hyeres Airport;TLN;FR;TLN;4.309.349;6.159.303;
Tambov Donskoye Airport;TBW;RU;TBW;52.716.667;41.433.334;
Stolport Airport;RET;NO;RET;6.748.333;12.083.333;
Aizawl Airport;AJL;IN;AJL;23.838.985;9.262.482;
Plastun Airport;TLY;RU;TLY;4.481.465;13.628.928;
Weihai International Airport;WEH;CN;WEH;3.718.814;12.223.607;
Newcastle Airport;NTL;AU;NTL;-32.804.592;15.184.006;
Matsumoto Airport;MMJ;JP;MMJ;36.233.334;13.796.666;
El Yopal Airport;EYP;CO;EYP;5.320.729;-72.386.284;
Pemba Airport;POL;MZ;POL;-12.988.333;405.225;
Petrozavodsk Airport;PES;RU;PES;61.683.334;34.333.332;
Pamplona Airport;PNA;ES;PNA;42.767.498;-1.639.347;
Greenville-Spartanburg International Airport;GSP;US;GSP;34.890.568;-8.221.706;
Lazaro Cardenas Airport;LZC;MX;LZC;18.0;-10.221.667;
Vishakhapatnam Airport;VTZ;IN;VTZ;17.728.151;8.322.675;
Barisal Airport;BZL;BD;BZL;22.8;90.3;
Dawson City Airport;YDA;CA;YDA;64.041.664;-13.912.083;
General Jose Antonio Anzoategui International Airport;BLA;VE;BLA;10.107.936;-6.468.589;
Southampton Airport;SOU;GB;SOU;50.950.726;-1.361.318;
Brandon Municipal Airport;YBR;CA;YBR;49.9;-99.95;
Gogebic County Airport;IWD;US;IWD;46.525.555;-9.013.167;
Comiso Airport;CIY;IT;CIY;3.699.167;14.606.944;
Amami Airport;ASJ;JP;ASJ;28.431.522;12.970.793;
Orio al Serio International Airport;BGY;IT;MIL;45.665.314;9.698.713;
Leon Airport;LAP;MX;LAP;24.076.088;-110.367.836;
Newman Airport;ZNE;AU;ZNE;-23.416.517;11.980.137;
Birjand Airport;XBJ;IR;XBJ;3.289.905;5.925.499;
Vigo Airport;VGO;ES;VGO;42.224.552;-8.634.025;
Colorado Springs Airport;COS;US;COS;3.879.713;-10.470.056;
Momote Airport;MAS;PG;MAS;-2.056.667;14.742.444;
Livingstone Airport;LVI;ZM;LVI;-17.820.557;25.822.222;
Mobile Downtown Airport;BFM;US;MOB;30.683.332;-8.823.333;
Asahikawa Airport;AKJ;JP;AKJ;4.367.109;14.245.454;
Pavlodar Airport;PWQ;KZ;PWQ;52.183.334;77.066.666;
St. Augustine Airport;UST;US;UST;29.95;-81.333.336;
Uraj Airport;URJ;RU;URJ;6.011.667;64.833.336;
Pres Ibanez Airport;PUQ;CL;PUQ;-53.005.356;-7.084.307;
Mosnov Airport;OSR;CZ;OSR;4.969.552;18.121.284;
Sept-Iles Airport;YZV;CA;YZV;5.021.751;-6.626.404;
Huizhou Airport;HUZ;CN;HUZ;23.083.332;11.436.667;
Haliwen Airport;ABU;ID;ABU;-9.133.333;12.488.333;
Shijiazhuang Daguocun Airport;SJW;CN;SJW;38.274.376;11.469.443;
